Date,Revenue
6/28/14,37432000000
3/29/14,45646000000
12/28/13,57594000000
9/28/13,37472000000
6/29/13,35323000000
3/30/13,43603000000
12/29/12,54512000000
9/29/12,35966000000
6/30/12,35023000000
3/31/12,39186000000
12/31/11,46333000000
9/24/11,28270000000
6/25/11,28571000000
3/26/11,24667000000
12/25/10,26741000000
9/25/10,20343000000
6/26/10,15700000000
3/27/10,13499000000
12/26/09,15683000000
6/27/09,8337000000
