Date,Value
2014-12-01,377800.0
2014-11-01,344600.0
2014-10-01,380800.0
2014-09-01,319100.0
2014-08-01,356200.0
2014-07-01,345200.0
2014-06-01,338100.0
2014-05-01,323500.0
2014-04-01,325100.0
2014-03-01,331500.0
2014-02-01,325900.0
2014-01-01,337300.0
2013-12-01,321200.0
2013-11-01,335600.0
2013-10-01,335700.0
2013-09-01,321400.0
2013-08-01,310800.0
2013-07-01,329900.0
2013-06-01,306100.0
2013-05-01,314000.0
2013-04-01,337000.0
2013-03-01,300200.0
2013-02-01,312500.0
2013-01-01,306900.0
2012-12-01,299200.0
2012-11-01,290700.0
2012-10-01,285400.0
2012-09-01,297700.0
2012-08-01,305500.0
2012-07-01,282300.0
2012-06-01,271800.0
2012-05-01,280900.0
2012-04-01,287900.0
2012-03-01,283600.0
2012-02-01,274000.0
2012-01-01,265700.0
2011-12-01,262900.0
2011-11-01,250000.0
2011-10-01,258300.0
2011-09-01,255400.0
2011-08-01,259300.0
2011-07-01,270300.0
2011-06-01,273100.0
2011-05-01,262700.0
2011-04-01,268900.0
2011-03-01,260800.0
2011-02-01,262800.0
2011-01-01,275700.0
2010-12-01,291700.0
2010-11-01,281700.0
2010-10-01,254400.0
2010-09-01,270800.0
2010-08-01,268800.0
2010-07-01,252100.0
2010-06-01,256700.0
2010-05-01,281100.0
2010-04-01,270500.0
2010-03-01,262900.0
2010-02-01,284100.0
2010-01-01,283400.0
2009-12-01,278300.0
2009-11-01,274700.0
2009-10-01,263800.0
2009-09-01,290300.0
2009-08-01,257800.0
2009-07-01,271100.0
2009-06-01,274800.0
2009-05-01,274600.0
2009-04-01,269800.0
2009-03-01,259800.0
2009-02-01,258600.0
2009-01-01,245200.0
2008-12-01,263100.0
2008-11-01,290100.0
2008-10-01,274000.0
2008-09-01,287100.0
2008-08-01,265500.0
2008-07-01,301900.0
2008-06-01,299400.0
2008-05-01,298200.0
2008-04-01,314300.0
2008-03-01,287600.0
2008-02-01,301200.0
2008-01-01,284600.0
2007-12-01,284400.0
2007-11-01,316800.0
2007-10-01,310100.0
2007-09-01,292200.0
2007-08-01,301300.0
2007-07-01,307100.0
2007-06-01,306500.0
2007-05-01,309700.0
2007-04-01,311700.0
2007-03-01,329400.0
2007-02-01,321500.0
2007-01-01,314600.0
2006-12-01,301900.0
2006-11-01,291800.0
2006-10-01,306800.0
2006-09-01,296200.0
2006-08-01,317300.0
2006-07-01,311300.0
2006-06-01,305000.0
2006-05-01,293900.0
2006-04-01,310300.0
2006-03-01,298800.0
2006-02-01,307900.0
2006-01-01,301000.0
2005-12-01,290200.0
2005-11-01,294400.0
2005-10-01,293600.0
2005-09-01,299600.0
2005-08-01,295000.0
2005-07-01,289300.0
2005-06-01,279600.0
2005-05-01,287400.0
2005-04-01,289100.0
2005-03-01,289600.0
2005-02-01,289100.0
2005-01-01,283000.0
2004-12-01,284300.0
2004-11-01,283200.0
2004-10-01,289600.0
2004-09-01,269200.0
2004-08-01,272200.0
2004-07-01,279200.0
2004-06-01,263200.0
2004-05-01,260400.0
2004-04-01,269300.0
2004-03-01,261000.0
2004-02-01,264100.0
2004-01-01,262100.0
2003-12-01,253900.0
2003-11-01,268300.0
2003-10-01,242800.0
2003-09-01,254500.0
2003-08-01,241000.0
2003-07-01,248400.0
2003-06-01,239700.0
2003-05-01,243700.0
2003-04-01,237200.0
2003-03-01,231100.0
2003-02-01,233400.0
2003-01-01,230200.0
2002-12-01,237800.0
2002-11-01,227100.0
2002-10-01,231300.0
2002-09-01,215300.0
2002-08-01,221300.0
2002-07-01,217800.0
2002-06-01,225200.0
2002-05-01,226500.0
2002-04-01,228100.0
2002-03-01,227100.0
2002-02-01,226500.0
2002-01-01,226900.0
